run,lumi,event,reason
319678,76,75370208,nano_ele_pt_floor
319678,76,75376144,nano_ele_pt_floor
319678,76,75701912,nano_ele_pt_floor
319678,76,75739294,nano_ele_pt_floor
319678,76,76113402,nano_ele_pt_floor
319678,76,76217666,nano_ele_pt_floor
319678,76,76399089,nano_ele_pt_floor
319678,85,90349215,nano_ele_pt_floor
319678,85,90822443,nano_ele_pt_floor
319678,85,90850324,nano_ele_pt_floor
319678,85,91058471,nano_ele_pt_floor
319678,85,91170627,nano_ele_pt_floor
319678,85,91231734,nano_ele_pt_floor
319678,86,91604698,nano_ele_pt_floor
319678,86,91788724,nano_ele_pt_floor
319678,86,91793254,nano_ele_pt_floor
319678,86,91960783,nano_ele_pt_floor
319678,86,92305760,nano_ele_pt_floor
319678,86,92467364,nano_ele_pt_floor
319678,86,92706767,nano_ele_pt_floor
319678,86,92707772,nano_ele_pt_floor
319678,87,93191968,nano_ele_pt_floor
319678,87,93454120,nano_ele_pt_floor
319678,87,93533959,nano_ele_pt_floor
319678,87,93780155,nano_ele_pt_floor
319678,87,93821583,nano_ele_pt_floor
319678,87,93926764,nano_ele_pt_floor
319678,87,94456274,nano_ele_pt_floor
319678,88,94677957,nano_ele_pt_floor
319678,88,94713320,nano_ele_pt_floor
319678,88,94864984,nano_ele_pt_floor
319678,88,95101023,nano_ele_pt_floor
319678,88,95511859,nano_ele_pt_floor
319678,88,95638743,nano_ele_pt_floor
319678,88,95898531,nano_ele_pt_floor
319678,97,107652379,nano_ele_pt_floor
319678,97,107701316,nano_ele_pt_floor
319678,97,107985967,nano_ele_pt_floor
319678,97,108011265,nano_ele_pt_floor
319678,97,108509808,nano_ele_pt_floor
319678,97,108625357,nano_ele_pt_floor
319678,97,108848720,nano_ele_pt_floor
319678,97,109131736,nano_ele_pt_floor
319678,97,109324183,nano_ele_pt_floor
319678,98,109368037,nano_ele_pt_floor
319678,98,109497865,nano_ele_pt_floor
319678,98,109557759,nano_ele_pt_floor
319678,98,109658600,nano_ele_pt_floor
319678,98,109851970,nano_ele_pt_floor
319678,98,109865768,nano_ele_pt_floor
319678,98,109975896,nano_ele_pt_floor
319678,98,110389044,nano_ele_pt_floor
319678,98,110593147,nano_ele_pt_floor
319678,98,110778157,nano_ele_pt_floor
319678,98,110875235,nano_ele_pt_floor
319678,105,121457526,nano_ele_pt_floor
319678,105,121515380,nano_ele_pt_floor
319678,105,121634974,nano_ele_pt_floor
319678,105,121661546,nano_ele_pt_floor
319678,105,121677123,nano_ele_pt_floor
319678,105,121924485,nano_ele_pt_floor
319678,105,122131516,nano_ele_pt_floor
319678,105,122615888,nano_ele_pt_floor
319678,105,122684315,nano_ele_pt_floor
319678,105,122711971,nano_ele_pt_floor
319678,106,122760654,nano_ele_pt_floor
319678,106,123212606,nano_ele_pt_floor
319678,106,123237461,nano_ele_pt_floor
319678,106,123356529,nano_ele_pt_floor
319678,106,123434604,nano_ele_pt_floor
319678,106,123471465,nano_ele_pt_floor
319678,106,123478173,nano_ele_pt_floor
319678,106,123864467,nano_ele_pt_floor
319678,106,124019743,nano_ele_pt_floor
319678,106,124197174,nano_ele_pt_floor
319678,106,124236721,nano_ele_pt_floor
319678,181,241157902,nano_ele_pt_floor
319678,181,241175535,nano_ele_pt_floor
319678,181,241978489,nano_ele_pt_floor
319678,181,242009221,nano_ele_pt_floor
319678,181,242136299,nano_ele_pt_floor
319678,181,242952691,nano_ele_pt_floor
319678,182,243157472,nano_ele_pt_floor
319678,182,244114505,nano_ele_pt_floor
319678,198,272997184,nano_ele_pt_floor
319678,198,273015217,nano_ele_pt_floor
319678,198,273421930,nano_ele_pt_floor
319678,198,273863450,nano_ele_pt_floor
319678,198,273972904,nano_ele_pt_floor
319678,198,274144074,nano_ele_pt_floor
319678,199,274656256,nano_ele_pt_floor
319678,199,274704067,nano_ele_pt_floor
319678,199,274885624,nano_ele_pt_floor
319678,199,274905454,nano_ele_pt_floor
319678,199,275077384,nano_ele_pt_floor
319678,199,275095692,nano_ele_pt_floor
319678,199,275426334,nano_ele_pt_floor
319678,199,275637749,nano_ele_pt_floor
319678,229,328633946,nano_ele_pt_floor
319678,229,328825995,nano_ele_pt_floor
319678,229,328986655,nano_ele_pt_floor
319678,229,329532571,nano_ele_pt_floor
319678,229,329800521,nano_ele_pt_floor
319678,229,329879727,nano_ele_pt_floor
319678,229,329912703,nano_ele_pt_floor
319678,230,330471034,nano_ele_pt_floor
319678,230,330988618,nano_ele_pt_floor
319678,230,331402809,nano_ele_pt_floor
319678,230,331518876,nano_ele_pt_floor
319678,230,331724994,nano_ele_pt_floor
319678,230,331856834,nano_ele_pt_floor
319678,278,413328433,nano_ele_pt_floor
319678,278,413809722,nano_ele_pt_floor
319678,278,414207706,nano_ele_pt_floor
319678,278,414701540,nano_ele_pt_floor
319678,279,414998189,nano_ele_pt_floor
319678,279,415009242,nano_ele_pt_floor
319678,279,415107001,nano_ele_pt_floor
319678,279,415761070,nano_ele_pt_floor
319678,279,415926644,nano_ele_pt_floor
319678,279,416594561,nano_ele_pt_floor
319697,95,106341681,nano_ele_pt_floor
319697,105,123190415,nano_ele_pt_floor
319697,105,123671716,nano_ele_pt_floor
319697,106,124364254,nano_ele_pt_floor
319697,106,124433670,nano_ele_pt_floor
319697,106,126073428,nano_ele_pt_floor
319697,107,126443787,nano_ele_pt_floor
319697,107,126573326,nano_ele_pt_floor
319697,107,126906666,nano_ele_pt_floor
319697,107,127064767,nano_ele_pt_floor
319697,107,127227926,nano_ele_pt_floor
319697,107,127395317,nano_ele_pt_floor
319697,107,127587447,nano_ele_pt_floor
319697,108,128713747,nano_ele_pt_floor
319697,369,560167853,nano_ele_pt_floor
319697,370,561067238,nano_ele_pt_floor
319697,370,561321900,nano_ele_pt_floor
319697,371,562101587,nano_ele_pt_floor
319697,371,562107912,nano_ele_pt_floor
319697,371,562203977,nano_ele_pt_floor
319697,372,563345902,nano_ele_pt_floor
319697,373,565359471,nano_ele_pt_floor
319697,373,565581026,nano_ele_pt_floor
319697,373,565600955,nano_ele_pt_floor
319697,373,565820011,nano_ele_pt_floor
319697,374,567687112,nano_ele_pt_floor
319656,102,65943302,sc_gap_definition
319656,106,71907661,sc_gap_definition
319656,133,110009458,sc_gap_definition
319656,140,121444001,sc_gap_definition
319656,141,123130527,sc_gap_definition
319656,148,136445000,sc_gap_definition
319657,130,212398903,sc_gap_definition
319678,57,43219142,sc_gap_definition
319678,57,44553443,sc_gap_definition
319678,65,58100643,sc_gap_definition
319678,76,76448489,sc_gap_definition
319678,85,89987413,sc_gap_definition
319678,86,92630660,sc_gap_definition
319678,86,92775470,sc_gap_definition
319678,87,94088461,sc_gap_definition
319678,98,110192732,sc_gap_definition
319678,106,122904190,sc_gap_definition
319678,106,124240653,sc_gap_definition
319678,87,94003006,nano_ele_pt_floor
